1,Stranded,Sumner
2,Stacking Chairs,Middle Kids
3,virtual reality,renforshort
4,Gold Chains,Genesis Owusu
5,Guilty Love,Ladyhawke & Broods
6,Bad Girl,Daya
7,Bigger Than Me,Gretta Ray
8,Baby Steps,Amy Shark
9,Jealous,Rico Nasty
10,Wait A While,Beddy Rays
11,Time I Love To Waste,MAY-A
12,Fly,Ngaiire
13,Would You Throw A Diamond?,Hayley Mary
14,Take Off,"Hooligan Hefs, SCNDL & Sunset Bros."
15,Void,Allday
16,serotonin,girl in red
17,Stop For A Minute,Polish Club
18,Feels Right,Biig Piig
19,All Or Nothing,DZ Deathrays
20,My Ways,Sycco
21,Technicolour,Montaigne
22,OOZ,Peach Tree Rascals
23,Say It,Blush'ko
24,Parlez-Vous Anglais,Aitch
25,Dino's,Gordi x Alex Lahey
26,dramatic,Cat & Calmell
27,Secretive!,Ninajirachi & Kota Banks
28,Dead Butterflies,Architects
29,No Good For Me,KUCKA
30,Drama Club,Tired Lion
31,Shine,San Cisco
32,Wasted On Me,Spacey Jane
33,Superstitious,Shannen James
34,One More,Nile Rodgers
35,Summer Fr3aks,B Wise x Manu Crooks
36,Typhoons,Royal Blood
37,21,Bakers Eddy
38,The Divine Chord,Johnny Marr
39,Kim,Tkay Maidza
40,Juno,Running Touch
41,Nigel Hitter,shame
42,Crash and Burn,Maggie Lindemann
43,Tally-Ho,Psychedelic Porn Crumpets
44,CONFIDENT,Tasman Keith
45,You,"benny blanco, Marshmello & Vance Joy"
46,Sweet & Dandy,Tash Sultana
47,Never Gonna Be The Same,Mia Wray
48,Our Paradise,The Terrys
49,Wild At Heart,Lana Del Rey
50,WITHOUT YOU,The Kid LAROI
51,Hope,Arlo Parks
52,Get Me Out,King Stingray
53,That's Just How I Feel,Noah Dillon
54,Addict,Hope D
55,Ticks Me Off,Lime Cordiale
56,Sydney,Rich Brian
57,telepatía,Kali Uchis
58,Please U,Planet Vegeta
59,The Last Man On Earth,Wolf Alice
60,Clockwork,Northlane
61,Falling,Crooked Colours
62,drivers license,Olivia Rodrigo
63,Backward,Pinkish Blu
64,Money Talks,Dave
65,Classic,Moody Beach
66,Look At The Sky,Porter Robinson
67,Tulsa Jesus Freak,Lana Del Rey
68,Dark But Just A Game,Lana Del Rey
69,Dog Eared,Carla Geneve
70,Valhalla,Skegss
71,Muddy Evil Pain,The Rubens
72,Bruuuh,JID & Denzel Curry
73,FMF!,Nick Ward
74,Learning Alive,DMA'S
75,Get High,Chet Faker
76,Nothing Ever Goes My Way,Ball Park Music
77,Something,Moaning Lisa
78,Too Many Feelings,Ruel
79,Twenty,Stevan
80,Dance Till We Die,Lana Del Rey
81,I Myself & Me,Illy
82,Street Guide (Part 01),ONEFOUR
83,Thank You,The Rubens
84,MAZZA,A$AP Rocky
85,Happen To Me,BENEE
86,Pump The Brakes,Dom Dolla
87,Waterfalls Coming Out Your Mouth,Glass Animals
88,Calling My Phone,Lil Tjay & 6LACK
89,New Roads,Weightless
90,Kingslayer,BABYMETAL
91,Let Me Love You Like A Woman,Lana Del Rey
92,O.N.E,King Gizzard & The Lizard Wizard
93,Addicted,Jorja Smith
94,Tipsy,Liyah Knight
95,Something About Being Sixteen,Teenage Joans
96,R U HIGH,Mallrat
97,Give Me Space,The Kite String Tangle
98,Dancing In The Mirror,Glades
99,Amends,Odette
100,Up,Cardi B
