1,Up,Cardi B
2,You,"benny blanco, Marshmello & Vance Joy"
3,drivers license,Olivia Rodrigo
4,Valhalla,Skegss
5,Kim,Tkay Maidza
6,Hope,Arlo Parks
7,Too Many Feelings,Ruel
8,Bruuuh,JID & Denzel Curry
9,Something About Being Sixteen,Teenage Joans
10,Questions,Middle Kids
11,WITHOUT YOU,The Kid LAROI
12,Typhoons,Royal Blood
13,dramatic,Cat & Calmell
14,Amends,Odette
15,Heaven Of My Own,Miiesha
16,One More,Nile Rodgers
17,Tyler Herro,Jack Harlow
18,Germs,Sycco
19,Dino's,Gordi x Alex Lahey
20,Out Of Touch,Lastlings
21,Queen,mxmtoon
22,Show Out,Pop Smoke
23,Best I Ever Had,LAUREL
24,Comets & Zombies,Slowly Slowly
25,Never Gonna Be The Same,Mia Wray
26,The Other Black Dog,Genesis Owusu
27,Sunbeam,KIAN
28,Please U,Planet Vegeta
29,Bridged By A Lightwave,deadmau5 & Kiesza
30,Learning Alive,DMA'S
31,Muddy Evil Pain,The Rubens
32,FEEL SOMETHING DIFFERENT,Aminé
33,AC/DC CD,The Chats
34,Money Talks,Dave
35,Feels Right,Biig Piig
36,Sunshine,Triple One
37,Waterfalls Coming Out Your Mouth,Glass Animals
38,Nigel Hitter,shame
39,Falling,Crooked Colours
40,Parlez-Vous Anglais,Aitch
41,Home,Eliott
42,Thank You,The Rubens
43,Look At The Sky,Porter Robinson
44,PAIN,King Princess
45,Holiday,The Rubens
46,Dog Eared,Carla Geneve
47,Ticks Me Off,Lime Cordiale
48,forget me too,Halsey
49,1st Time,Bakar
50,Spa,Icona Pop & Sofi Tukker
51,Get Me So High,Eves Karydas
52,Addict,Hope D
53,Not Ready For Love,Tyne-James Organ
54,Juno,Running Touch
55,Easier,LOWES
56,4E Jobless,Lola Scott
57,Chemtrails Over The Country Club,Lana Del Rey
58,Tally-Ho,Psychedelic Porn Crumpets
59,River,PNAU & Ladyhawke
60,Brick Wall,A Day to Remember
61,Recap,Kito
62,Dead Butterflies,Architects
63,Get High,Chet Faker
64,Bad Boy,Juice WRLD & Young Thug
65,Fly Away,Tones And I
66,Crash and Burn,Maggie Lindemann
67,letting go,Ziggy Alberts
68,Nothing Ever Goes My Way,Ball Park Music
69,The Divine Chord,Johnny Marr
70,In Her Eyes,The Jungle Giants
71,Drama Club,Tired Lion
72,State Of My Mind,The Rubens
73,Explosions,The Rubens
74,Good Days,SZA
75,Poison,Sydnee Carter
76,Masterpiece,The Rubens
77,Weightless,Spacey Jane
78,Somebody Loves You,Carla Wehbe
79,Spicy,Post Malone
80,Happen To Me,BENEE
81,until we meet again,yergurl
82,Old Youth Feeling,Bugs
83,Apple,The Rubens
84,Secretive!,Ninajirachi & Kota Banks
85,Knievel Daredevil,Asha Jefferies
86,Stop For A Minute,Polish Club
87,Alchemy,Blanke
88,Nightmare,Sloan Peterson
89,Stranded,Sumner
90,Queen,mxmtoon
91,Teardrops,Bring Me The Horizon
92,Get Me Out,King Stingray
93,Lose Your Head,London Grammar
94,"to Perth, before the border closes",Julia Jacklin
95,Therefore I Am,Billie Eilish
96,LUCID,Rina Sawayama
97,Storm,CLYPSO
98,O.N.E,King Gizzard & The Lizard Wizard
99,Diamonds,Taka Perry
100,Wonderlust,Simonne Jones
