1,BUZZCUT,Danny Brown
2,Stranded,Sumner
3,Stacking Chairs,Middle Kids
4,Ice Cream,Teenage Joans
5,Gold Chains,Genesis Owusu
6,Wait A While,Beddy Rays
7,Fly,Ngaiire
8,Baby Steps,Amy Shark
9,Take Off,"Hooligan Hefs, SCNDL & Sunset Bros."
10,Ride,Yirrmal
11,Bigger Than Me,Gretta Ray
12,Bad Girl,Daya
13,Say It,Blush'ko
14,One More,Nile Rodgers
15,21,Bakers Eddy
16,Crash and Burn,Maggie Lindemann
17,R U HIGH,Mallrat
18,Juno,Running Touch
19,FMF!,Nick Ward
20,Jungle Juice,Alst3n
21,Wasted On Me,Spacey Jane
22,Superstitious,Shannen James
23,CONFIDENT,Tasman Keith
24,Would You Throw A Diamond?,Hayley Mary
25,Technicolour,Montaigne
26,Foolproof,"Hayden James, Gorgon City & Nat Dunn"
27,telepatía,Kali Uchis
28,Twenty,Stevan
29,OOZ,Peach Tree Rascals
30,Get High,Chet Faker
31,Calling My Phone,Lil Tjay & 6LACK
32,Stop For A Minute,Polish Club
33,My Ways,Sycco
34,Guess Again,DREDUB
35,Tally-Ho,Psychedelic Porn Crumpets
36,Guilty Love,Ladyhawke & Broods
37,The Last Man On Earth,Wolf Alice
38,dramatic,Cat & Calmell
39,Lose Your Head,London Grammar
40,That's Just How I Feel,Noah Dillon
41,Feels Right,Biig Piig
42,Jealous,Rico Nasty
43,Time I Love To Waste,MAY-A
44,MORE,Mansionair
45,Dark But Just A Game,Lana Del Rey
46,Hope,Arlo Parks
47,virtual reality,renforshort
48,Typhoons,Royal Blood
49,Together,beabadoobee
50,Secretive!,Ninajirachi & Kota Banks
51,serotonin,girl in red
52,Dog Eared,Carla Geneve
53,Look At The Sky,Porter Robinson
54,letting go,Ziggy Alberts
55,Dead Butterflies,Architects
56,Are You Kidding?,Nicole Millar
57,Summer Fr3aks,B Wise x Manu Crooks
58,Dino's,Gordi x Alex Lahey
59,Down To Ride,Skegss
60,Please U,Planet Vegeta
61,Muddy Evil Pain,The Rubens
62,Nigel Hitter,shame
63,Money Talks,Dave
64,Recap,Kito
65,No Good For Me,KUCKA
66,Valhalla,Skegss
67,Picturesque Moment,Skegss
68,Addict,Hope D
69,Pump The Brakes,Dom Dolla
70,Get Me Out,King Stingray
71,Higher,Budjerah
72,MAZZA,A$AP Rocky
73,Up,Cardi B
74,Diamond,Bugs
75,All Or Nothing,DZ Deathrays
76,Tipsy,Liyah Knight
77,Bush TV,Skegss
78,You,"benny blanco, Marshmello & Vance Joy"
79,Bruuuh,JID & Denzel Curry
80,Amends,Odette
81,Bones,Telenova
82,Sweet & Dandy,Tash Sultana
83,Good Days,SZA
84,Too Many Feelings,Ruel
85,Fade Away,Skegss
86,Classic,Moody Beach
87,Circles,Megan Thee Stallion
88,Running From Nothing,Skegss
89,Chemtrails Over The Country Club,Lana Del Rey
90,Curse My Happiness,Skegss
91,Sunday Suit,Tyne-James Organ
92,Happen To Me,BENEE
93,Sometimes,KYE
94,Savour The Flavour,Skegss
95,Clockwork,Northlane
96,Chess Not Checkers,Arno Faraji
97,WITHOUT YOU,The Kid LAROI
98,Venom,Jesswar
99,Thank You,The Rubens
100,I Myself & Me,Illy
