1,Amends,Odette
2,Crash and Burn,Maggie Lindemann
3,Typhoons,Royal Blood
4,Time I Love To Waste,MAY-A
5,Too Many Feelings,Ruel
6,Kim,Tkay Maidza
7,Hope,Arlo Parks
8,Up,Cardi B
9,Bruuuh,JID & Denzel Curry
10,WITHOUT YOU,The Kid LAROI
11,dramatic,Cat & Calmell
12,Ticks Me Off,Lime Cordiale
13,Old Youth Feeling,Bugs
14,Addict,Hope D
15,Say It,Blush'ko
16,Questions,Middle Kids
17,Get High,Chet Faker
18,Valhalla,Skegss
19,drivers license,Olivia Rodrigo
20,Nothing Ever Goes My Way,Ball Park Music
21,Spa,Icona Pop & Sofi Tukker
22,Look At The Sky,Porter Robinson
23,Higher,Budjerah
24,Heaven Of My Own,Miiesha
25,Juno,Running Touch
26,You,"benny blanco, Marshmello & Vance Joy"
27,Comets & Zombies,Slowly Slowly
28,Dog Eared,Carla Geneve
29,PAIN,King Princess
30,Falling,Crooked Colours
31,Show Out,Pop Smoke
32,1st Time,Bakar
33,Sunbeam,KIAN
34,Get Me Out,King Stingray
35,One More,Nile Rodgers
36,Nigel Hitter,shame
37,Something About Being Sixteen,Teenage Joans
38,Drama Club,Tired Lion
39,Get Me So High,Eves Karydas
40,Waterfalls Coming Out Your Mouth,Glass Animals
41,Germs,Sycco
42,Somebody Loves You,Carla Wehbe
43,FEEL SOMETHING DIFFERENT,Aminé
44,The Divine Chord,Johnny Marr
45,Learning Alive,DMA'S
46,FMF!,Nick Ward
47,Never Gonna Be The Same,Mia Wray
48,Tally-Ho,Psychedelic Porn Crumpets
49,Happen To Me,BENEE
50,Parlez-Vous Anglais,Aitch
51,Best I Ever Had,LAUREL
52,No Good For Me,KUCKA
53,Easier,LOWES
54,Lose Your Head,London Grammar
55,Alchemy,Blanke
56,Crop Circles,Tash Sultana
57,AC/DC CD,The Chats
58,Follow Me,ShockOne
59,Jealous,Rico Nasty
60,Poison,Sydnee Carter
61,Together,beabadoobee
62,Feels Right,Biig Piig
63,too dang good,PRICIE
64,letting go,Ziggy Alberts
65,Home,Eliott
66,All Or Nothing,DZ Deathrays
67,Money Talks,Dave
68,Dead Butterflies,Architects
69,Maybe You've Changed,Tash Sultana
70,Weightless,Spacey Jane
71,Muddy Evil Pain,The Rubens
72,Blame It On Society,Tash Sultana
73,until we meet again,yergurl
74,CONFIDENT,Tasman Keith
75,Classic,Moody Beach
76,Medusa,Jesswar
77,Dino's,Gordi x Alex Lahey
78,Please U,Planet Vegeta
79,Recap,Kito
80,Vanilla Honey,Tash Sultana
81,Dream My Life Away,Josh Cashman
82,I've Been Holding Onto You For Way Too Long,Alexander Biggs
83,The Other Black Dog,Genesis Owusu
84,Bad Boy,Juice WRLD & Young Thug
85,O.N.E,King Gizzard & The Lizard Wizard
86,Knievel Daredevil,Asha Jefferies
87,Queen,mxmtoon
88,Masterpiece,The Rubens
89,Brick Wall,A Day to Remember
90,Dancing In The Mirror,Glades
91,Lavender,Channel Tres
92,Sweet & Dandy,Tash Sultana
93,Body,Megan Thee Stallion
94,Cheers,Nerve
95,Remote Control,These New South Whales
96,Tipsy,Liyah Knight
97,Circles,Megan Thee Stallion
98,Coma,Tash Sultana
99,Spicy,Post Malone
100,Good Days,SZA
