1,Something About Being Sixteen,Teenage Joans
2,Up,Cardi B
3,drivers license,Olivia Rodrigo
4,Chemtrails Over The Country Club,Lana Del Rey
5,Questions,Middle Kids
6,You,"benny blanco, Marshmello & Vance Joy"
7,Valhalla,Skegss
8,Hope,Arlo Parks
9,Show Out,Pop Smoke
10,Kim,Tkay Maidza
11,Masterpiece,The Rubens
12,WITHOUT YOU,The Kid LAROI
13,Nothing Ever Goes My Way,Ball Park Music
14,River,PNAU & Ladyhawke
15,Best I Ever Had,LAUREL
16,Learning Alive,DMA'S
17,Ticks Me Off,Lime Cordiale
18,Tyler Herro,Jack Harlow
19,Sunshine,Triple One
20,Queen,mxmtoon
21,The Divine Chord,Johnny Marr
22,Juno,Running Touch
23,Passion,Gretta Ray
24,The Other Black Dog,Genesis Owusu
25,AC/DC CD,The Chats
26,Sunbeam,KIAN
27,Happen To Me,BENEE
28,Heaven Of My Own,Miiesha
29,PAIN,King Princess
30,Dog Eared,Carla Geneve
31,Vibrate,Jerome Farah
32,Comets & Zombies,Slowly Slowly
33,White Walls,Lemon Myrtle
34,Germs,Sycco
35,Old Youth Feeling,Bugs
36,Feels Right,Biig Piig
37,Bruuuh,JID & Denzel Curry
38,Home,Eliott
39,FEEL SOMETHING DIFFERENT,Aminé
40,dramatic,Cat & Calmell
41,Bad Boy,Juice WRLD & Young Thug
42,Nightmare,Sloan Peterson
43,Falling,Crooked Colours
44,Get Me So High,Eves Karydas
45,Easier,LOWES
46,Typhoons,Royal Blood
47,until we meet again,yergurl
48,Never Gonna Be The Same,Mia Wray
49,Look At The Sky,Porter Robinson
50,Not Ready For Love,Tyne-James Organ
51,Parlez-Vous Anglais,Aitch
52,In Her Eyes,The Jungle Giants
53,Nigel Hitter,shame
54,LUCID,Rina Sawayama
55,Drama Club,Tired Lion
56,Crash and Burn,Maggie Lindemann
57,Somebody Loves You,Carla Wehbe
58,Diamonds,Taka Perry
59,Dance,Julia Stone
60,Poison,Sydnee Carter
61,Lose Your Head,London Grammar
62,Spa,Icona Pop & Sofi Tukker
63,Herald,Odette
64,It's All Connected,Andy Bull
65,Trial By Fire,Odette
66,Alchemy,Blanke
67,Dead Butterflies,Architects
68,Tally-Ho,Psychedelic Porn Crumpets
69,Bridged By A Lightwave,deadmau5 & Kiesza
70,Get High,Chet Faker
71,Good Days,SZA
72,Knievel Daredevil,Asha Jefferies
73,Amends,Odette
74,Addict,Hope D
75,forget me too,Halsey
76,Ego Death,Skrillex
77,letting go,Ziggy Alberts
78,One More,Nile Rodgers
79,"I Miss You, I'm Sorry",Odette
80,Out Of Touch,Lastlings
81,Mandible,Odette
82,Get Me Out,King Stingray
83,Follow Me,ShockOne
84,Secretive!,Ninajirachi & Kota Banks
85,Medusa,Jesswar
86,Fly Away,Tones And I
87,Teardrops,Bring Me The Horizon
88,Waterfalls Coming Out Your Mouth,Glass Animals
89,"to Perth, before the border closes",Julia Jacklin
90,Say It,Blush'ko
91,Dwell,Odette
92,Weightless,Spacey Jane
93,What I Know Is Not Enough,Odette
94,distance,Ruel
95,Body,Megan Thee Stallion
96,1st Time,Bakar
97,Money Talks,Dave
98,Intrasport,King Gizzard & The Lizard Wizard
99,Fallin' Apart,Pell
100,Circles,Megan Thee Stallion
