1,Ride,Yirrmal
2,Pump The Brakes,Dom Dolla
3,Ice Cream,Teenage Joans
4,Fly,Ngaiire
5,Kiss Me More,SZA
6,R.E.G.O,Ruby Fields
7,Stacking Chairs,Middle Kids
8,R U HIGH,Mallrat
9,Foolproof,"Hayden James, Gorgon City & Nat Dunn"
10,Baby Steps,Amy Shark
11,deja vu,Olivia Rodrigo
12,That's Just How I Feel,Noah Dillon
13,Little More Love,AJ Tracey
14,How You Been,Holy Holy
15,serotonin,girl in red
16,Stop For A Minute,Polish Club
17,You're The One,LAUREL
18,Go Wrong,Hauskey
19,Tipsy,Carmouflage Rose
20,Get Me Out,King Stingray
21,MORE,Mansionair
22,virtual reality,renforshort
23,Clarkson,Sly Withers
24,21,Bakers Eddy
25,Jungle Juice,Alst3n
26,Kissing Strangers,Vetta Borne
27,OOZ,Peach Tree Rascals
28,Void,Allday
29,My Ways,Sycco
30,Stranded,Sumner
31,Look At The Sky,Porter Robinson
32,MONTERO (Call Me By Your Name),Lil Nas X
33,Bigger Than Me,Gretta Ray
34,Fire In Me,Julia Stone
35,Superstitious,Shannen James
36,Keep Moving,Jungle
37,Secretive!,Ninajirachi & Kota Banks
38,Shine,San Cisco
39,All Or Nothing,DZ Deathrays
40,Wait A While,Beddy Rays
41,Dead Butterflies,Architects
42,Twenty,Stevan
43,Guess Again,DREDUB
44,Green Eyes,Arlo Parks
45,Josh,Peach PRC
46,How Does It Feel,London Grammar
47,Bad Girl,Daya
48,Time I Love To Waste,MAY-A
49,Guilty Love,Ladyhawke & Broods
50,Neon Cheap,Methyl Ethel
51,Last Day On Earth,beabadoobee
52,Luv Drunk,A.GIRL
53,telepatía,Kali Uchis
54,Recap,Kito
55,Sweet & Dandy,Tash Sultana
56,Please U,Planet Vegeta
57,Nigel Hitter,shame
58,Gold Chains,Genesis Owusu
59,Missing,London Grammar
60,Bush TV,Skegss
61,Summer Fr3aks,B Wise x Manu Crooks
62,COUNT ON ME,BROCKHAMPTON
63,Stranger,Kee'ahn
64,Diamond,Bugs
65,Bones,Telenova
66,BUZZCUT,Danny Brown
67,Calling My Phone,Lil Tjay & 6LACK
68,No Good For Me,KUCKA
69,FMF!,Nick Ward
70,Mystery,Blanke
71,Talking,London Grammar
72,Higher,Budjerah
73,Addict,Hope D
74,One More,Nile Rodgers
75,Californian Soil,London Grammar
76,Addicted,Jorja Smith
77,He Said She Said,CHVRCHES
78,Jealous,Rico Nasty
79,Bruuuh,JID & Denzel Curry
80,Our Paradise,The Terrys
81,Circles,Megan Thee Stallion
82,Clockwork,Northlane
83,Lord It's A Feeling,London Grammar
84,Dino's,Gordi x Alex Lahey
85,Waterfalls Coming Out Your Mouth,Glass Animals
86,Whatever Tomorrow,Chet Faker
87,Call Your Friends,London Grammar
88,Our Paradise,the terrys
89,120fps,Agung Mango
90,Street Guide (Part 01),ONEFOUR
91,Venom,Jesswar
92,Muddy Evil Pain,The Rubens
93,Wasted On Me,Spacey Jane
94,First Love,Yours Truly
95,I Need The Night,London Grammar
96,Money Talks,Dave
97,Petty,Eluera
98,Sad Girl Summer,smol fish
99,Too Many Feelings,Ruel
100,Lose Your Head,London Grammar
