1,Addict,Hope D
2,virtual reality,renforshort
3,Dead Butterflies,Architects
4,Guilty Love,Ladyhawke & Broods
5,My Ways,Sycco
6,Time I Love To Waste,MAY-A
7,Say It,Blush'ko
8,Gold Chains,Genesis Owusu
9,Jealous,Rico Nasty
10,Wait A While,Beddy Rays
11,Stranded,Sumner
12,Void,Allday
13,Sweet & Dandy,Tash Sultana
14,Josh,Peach PRC
15,Typhoons,Royal Blood
16,Juno,Running Touch
17,Higher,Budjerah
18,Superstitious,Shannen James
19,Crash and Burn,Maggie Lindemann
20,All Or Nothing,DZ Deathrays
21,Bad Girl,Daya
22,Ticks Me Off,Lime Cordiale
23,Calling My Phone,Lil Tjay & 6LACK
24,Bigger Than Me,Gretta Ray
25,Would You Throw A Diamond?,Hayley Mary
26,Valhalla,Skegss
27,Nigel Hitter,shame
28,Feels Right,Biig Piig
29,FMF!,Nick Ward
30,Something About Being Sixteen,Teenage Joans
31,Get Me Out,King Stingray
32,The Divine Chord,Johnny Marr
33,21,Bakers Eddy
34,Twenty,Stevan
35,Amends,Odette
36,dramatic,Cat & Calmell
37,That's Just How I Feel,Noah Dillon
38,Nothing Ever Goes My Way,Ball Park Music
39,No Good For Me,KUCKA
40,Hope,Arlo Parks
41,Secretive!,Ninajirachi & Kota Banks
42,serotonin,girl in red
43,Look At The Sky,Porter Robinson
44,Shine,San Cisco
45,Dino's,Gordi x Alex Lahey
46,Tally-Ho,Psychedelic Porn Crumpets
47,Up,Cardi B
48,One More,Nile Rodgers
49,Take Off,"Hooligan Hefs, SCNDL & Sunset Bros."
50,Too Many Feelings,Ruel
51,Bruuuh,JID & Denzel Curry
52,Parlez-Vous Anglais,Aitch
53,Dog Eared,Carla Geneve
54,Lose Your Head,London Grammar
55,Wasted On Me,Spacey Jane
56,Muddy Evil Pain,The Rubens
57,Tipsy,Liyah Knight
58,Technicolour,Montaigne
59,FEEL SOMETHING DIFFERENT,Aminé
60,WITHOUT YOU,The Kid LAROI
61,Recap,Kito
62,Yellow Dress,Jordy Maxwell
63,Please U,Planet Vegeta
64,Together,beabadoobee
65,drivers license,Olivia Rodrigo
66,Addicted,Jorja Smith
67,Waterfalls Coming Out Your Mouth,Glass Animals
68,Learning Alive,DMA'S
69,Thank You,The Rubens
70,telepatía,Kali Uchis
71,Kim,Tkay Maidza
72,Classic,Moody Beach
73,OOZ,Peach Tree Rascals
74,Drama Club,Tired Lion
75,MAZZA,A$AP Rocky
76,Good Days,SZA
77,Bad Boy,Juice WRLD & Young Thug
78,Jungle Juice,Alst3n
79,Queen,mxmtoon
80,The Last Man On Earth,Wolf Alice
81,You,"benny blanco, Marshmello & Vance Joy"
82,Home,Eliott
83,Venom,Jesswar
84,Kingslayer,BABYMETAL
85,too dang good,PRICIE
86,Never Gonna Be The Same,Mia Wray
87,Summer Fr3aks,B Wise x Manu Crooks
88,Guess Again,DREDUB
89,CONFIDENT,Tasman Keith
90,Get High,Chet Faker
91,Happen To Me,BENEE
92,Some People Stay in Our Hearts Forever,Middle Kids
93,Stacking Chairs,Middle Kids
94,Questions,Middle Kids
95,Falling,Crooked Colours
96,O.N.E,King Gizzard & The Lizard Wizard
97,Go Wrong,Hauskey
98,Tipsy,Carmouflage Rose
99,Are You Kidding?,Nicole Millar
100,Money Talks,Dave
