1,Wait A While,Beddy Rays
2,Pump The Brakes,Dom Dolla
3,R U HIGH,Mallrat
4,deja vu,Olivia Rodrigo
5,Baby Steps,Amy Shark
6,Ride,Yirrmal
7,Ice Cream,Teenage Joans
8,R.E.G.O,Ruby Fields
9,Foolproof,"Hayden James, Gorgon City & Nat Dunn"
10,Gold Chains,Genesis Owusu
11,Stacking Chairs,Middle Kids
12,Fly,Ngaiire
13,Time I Love To Waste,MAY-A
14,Bones,Telenova
15,Bad Girl,Daya
16,Would You Throw A Diamond?,Hayley Mary
17,Stranded,Sumner
18,Dog Eared,Carla Geneve
19,That's Just How I Feel,Noah Dillon
20,Technicolour,Montaigne
21,Stop For A Minute,Polish Club
22,Last Day On Earth,beabadoobee
23,Keep Moving,Jungle
24,Jungle Juice,Alst3n
25,Clarkson,Sly Withers
26,MORE,Mansionair
27,Guilty Love,Ladyhawke & Broods
28,Diamond,Bugs
29,FMF!,Nick Ward
30,My Ways,Sycco
31,Bigger Than Me,Gretta Ray
32,Recap,Kito
33,Kiss Me More,SZA
34,serotonin,girl in red
35,Happen To Me,BENEE
36,Void,Allday
37,Kissing Strangers,Vetta Borne
38,Fire In Me,Julia Stone
39,Go Wrong,Hauskey
40,telepatía,Kali Uchis
41,Secretive!,Ninajirachi & Kota Banks
42,No Good For Me,KUCKA
43,Get Me Out,King Stingray
44,Typhoons,Royal Blood
45,One More,Nile Rodgers
46,Dino's,Gordi x Alex Lahey
47,21,Bakers Eddy
48,Tally-Ho,Psychedelic Porn Crumpets
49,Superstitious,Shannen James
50,All Or Nothing,DZ Deathrays
51,Bush TV,Skegss
52,OOZ,Peach Tree Rascals
53,Guess Again,DREDUB
54,WHAT'S THE OCCASION?,BROCKHAMPTON
55,Addict,Hope D
56,The Last Man On Earth,Wolf Alice
57,Money Talks,Dave
58,Tipsy,Carmouflage Rose
59,DON'T SHOOT UP THE PARTY,BROCKHAMPTON
60,I'LL TAKE YOU ON,Charlie Wilson
61,virtual reality,renforshort
62,Dark But Just A Game,Lana Del Rey
63,THE LIGHT,BROCKHAMPTON
64,Please U,Planet Vegeta
65,Cowboy,Allison Ponthier
66,WHEN I BALL,BROCKHAMPTON
67,Too Many Feelings,Ruel
68,Bruuuh,JID & Denzel Curry
69,Ticks Me Off,Lime Cordiale
70,Higher,Budjerah
71,Dead Butterflies,Architects
72,Shine,San Cisco
73,Thank You,The Rubens
74,letting go,Ziggy Alberts
75,Waterfalls Coming Out Your Mouth,Glass Animals
76,Tulsa Jesus Freak,Lana Del Rey
77,Jealous,Rico Nasty
78,Look At The Sky,Porter Robinson
79,Our Paradise,The Terrys
80,Twenty,Stevan
81,Clockwork,Northlane
82,Summer Fr3aks,B Wise x Manu Crooks
83,Amends,Odette
84,Lose Your Head,London Grammar
85,Stranger,Kee'ahn
86,Wasted On Me,Spacey Jane
87,Josh,Peach PRC
88,Get High,Chet Faker
89,Nigel Hitter,shame
90,Kingslayer,BABYMETAL
91,Addicted,Jorja Smith
92,Calling My Phone,Lil Tjay & 6LACK
93,Sometimes,KYE
94,Sweet & Dandy,Tash Sultana
95,Swimming,TOWNS
96,COUNT ON ME,BROCKHAMPTON
97,BUZZCUT,Danny Brown
98,MAZZA,A$AP Rocky
99,Our Paradise,the terrys
100,Medusa,Jesswar
