1,Something About Being Sixteen,Teenage Joans
2,Questions,Middle Kids
3,You,"benny blanco, Marshmello & Vance Joy"
4,The Divine Chord,Johnny Marr
5,Amends,Odette
6,Chemtrails Over The Country Club,Lana Del Rey
7,Valhalla,Skegss
8,Queen,mxmtoon
9,Show Out,Pop Smoke
10,Masterpiece,The Rubens
11,Comets & Zombies,Slowly Slowly
12,drivers license,Olivia Rodrigo
13,Good Days,SZA
14,Old Youth Feeling,Bugs
15,Feels Right,Biig Piig
16,WITHOUT YOU,The Kid LAROI
17,Never Gonna Be The Same,Mia Wray
18,Tyler Herro,Jack Harlow
19,Parlez-Vous Anglais,Aitch
20,1st Time,Bakar
21,Not Ready For Love,Tyne-James Organ
22,MAZZA,A$AP Rocky
23,The Other Black Dog,Genesis Owusu
24,Bad Boy,Juice WRLD & Young Thug
25,Typhoons,Royal Blood
26,Alchemy,Blanke
27,Teenager,George Alice
28,Dog Eared,Carla Geneve
29,Nigel Hitter,shame
30,PAIN,King Princess
31,Vibrate,Jerome Farah
32,Easier,LOWES
33,Dead Butterflies,Architects
34,Sunbeam,KIAN
35,Get Me So High,Eves Karydas
36,Nothing Ever Goes My Way,Ball Park Music
37,Passion,Gretta Ray
38,Follow Me,ShockOne
39,Out Of Touch,Lastlings
40,LUCID,Rina Sawayama
41,In Her Eyes,The Jungle Giants
42,Sunshine,Triple One
43,AC/DC CD,The Chats
44,Juno,Running Touch
45,Tally-Ho,Psychedelic Porn Crumpets
46,Best I Ever Had,LAUREL
47,Brick Wall,A Day to Remember
48,Learning Alive,DMA'S
49,dramatic,Cat & Calmell
50,River,PNAU & Ladyhawke
51,Heaven Of My Own,Miiesha
52,It's All Connected,Andy Bull
53,cotton candy,YUNGBLUD
54,Nightmare,Sloan Peterson
55,Falling,Crooked Colours
56,until we meet again,yergurl
57,Germs,Sycco
58,Get Me Out,King Stingray
59,Knievel Daredevil,Asha Jefferies
60,Diamonds,Taka Perry
61,Impossible,Nothing But Thieves
62,Drama Club,Tired Lion
63,Roaring 20s,Flo Milli
64,FEEL SOMETHING DIFFERENT,Aminé
65,too dang good,PRICIE
66,forget me too,Halsey
67,Lose Your Head,London Grammar
68,Waterfalls Coming Out Your Mouth,Glass Animals
69,Spicy,Post Malone
70,DREAM,Ocean Grove
71,Hurt,Arlo Parks
72,Somebody Loves You,Carla Wehbe
73,CONFIDENT,Tasman Keith
74,Port Rd,Queen P
75,Bridged By A Lightwave,deadmau5 & Kiesza
76,Caroline,Arlo Parks
77,Automation,King Gizzard & The Lizard Wizard
78,Dance,Julia Stone
79,Ticks Me Off,Lime Cordiale
80,Spa,Icona Pop & Sofi Tukker
81,Poison,Sydnee Carter
82,Come Along,A.GIRL
83,Green Eyes,Arlo Parks
84,Fallin' Apart,Pell
85,Wonderlust,Simonne Jones
86,Skengman,Stormzy
87,Fly Away,Tones And I
88,Don't Judge Me,"FKA twigs, Headie One & Fred again.."
89,Say It,Blush'ko
90,Kissing Strangers,Vetta Borne
91,Weightless,Spacey Jane
92,Too Good,Arlo Parks
93,Money Talks,Dave
94,Together,beabadoobee
95,Home,Eliott
96,Portra 400,Arlo Parks
97,Hope,Arlo Parks
98,distance,Ruel
99,Just Go,Arlo Parks
100,"to Perth, before the border closes",Julia Jacklin
