1,In Her Eyes,The Jungle Giants
2,Port Rd,Queen P
3,Passion,Gretta Ray
4,Kool,BENEE
5,Real Shit,Juice WRLD & benny blanco
6,Comets & Zombies,Slowly Slowly
7,FEEL SOMETHING DIFFERENT,Aminé
8,Automation,King Gizzard & The Lizard Wizard
9,Fallin' Apart,Pell
10,PAIN,King Princess
11,River,PNAU & Ladyhawke
12,Animals,Architects
13,Masterpiece,The Rubens
14,Show Out,Pop Smoke
15,It's All Connected,Andy Bull
16,Old Youth Feeling,Bugs
17,Two Lovers,Tia Gostelow
18,Best I Ever Had,LAUREL
19,Bridged By A Lightwave,deadmau5 & Kiesza
20,Feels Right,Biig Piig
21,Tyler Herro,Jack Harlow
22,Get Me So High,Eves Karydas
23,forget me too,Halsey
24,Not Ready For Love,Tyne-James Organ
25,Weightless,Spacey Jane
26,Too Tough Terry,Dune Rats
27,LINGO,Sophiya
28,cotton candy,YUNGBLUD
29,Impossible,Nothing But Thieves
30,Apricots,MAY-A
31,Knievel Daredevil,Asha Jefferies
32,Diamonds,Taka Perry
33,Germs,Sycco
34,Role Models,Kobie Dee
35,24k,Tkay Maidza
36,Fired Up,DZ Deathrays
37,Out Of Touch,Lastlings
38,Nightmare,Sloan Peterson
39,Somebody Loves You,Carla Wehbe
40,Teenager,George Alice
41,i miss u,Jax Jones & Au/Ra
42,Drama Club,Tired Lion
43,Reality Check Please,Lime Cordiale
44,Dance,Julia Stone
45,The Other Black Dog,Genesis Owusu
46,SEND IT!,Hooligan Hefs
47,C'MON,Travis Barker
48,Vibrate,Jerome Farah
49,Heaven Of My Own,Miiesha
50,Anything,Alison Wonderland & Valentino Khan
51,Come Along,A.GIRL
52,Brick Wall,A Day to Remember
53,Together,beabadoobee
54,Willow Tree,Jerome Farah
55,Storm,CLYPSO
56,Follow Me,ShockOne
57,Sunbeam,KIAN
58,Spa,Icona Pop & Sofi Tukker
59,Idaho,Cosmo's Midnight
60,i'm a fucking wreck,Daniyel
61,Fly Away,Tones And I
62,1st Time,Bakar
63,Alchemy,Blanke
64,Sunshine,Triple One
65,Easier,LOWES
66,HARSH,Groovy Daughter
67,distance,Ruel
68,Nothing Ever Goes My Way,Ball Park Music
69,Circles,Megan Thee Stallion
70,"to Perth, before the border closes",Julia Jacklin
71,Watch Your Step,Kelis
72,Hey Wanhaka,King Stingray
73,Teardrops,Bring Me The Horizon
74,Home,Eliott
75,Poison,Sydnee Carter
76,Therefore I Am,Billie Eilish
77,If I Never Say A Word,Matt Corby
78,Extraordinary Life,Gordi
79,until we meet again,yergurl
80,dumbshit,Cat & Calmell
81,Swing,CXLOE
82,Parlez-Vous Anglais,Aitch
83,Driver,Pendulum
84,Groovy,Barkaa
85,SO DONE,The Kid LAROI
86,Come Over,Popcaan
87,Spicy,Post Malone
88,Dwell,Odette
89,Missing You,Budjerah
90,Falling,Crooked Colours
91,Good Days,SZA
92,Rumours,Hp Boyz
93,Body,Megan Thee Stallion
94,After All This Time,Allday
95,Neighbours In The Morning,Sam Windley
96,Bad Decisions,The Strokes
97,Queen,mxmtoon
98,Questions,Middle Kids
99,Get On The Beers,Dan Andrews
100,Trouble's Coming,Royal Blood
