1,Time I Love To Waste,MAY-A
2,Sweet & Dandy,Tash Sultana
3,Addict,Hope D
4,Crash and Burn,Maggie Lindemann
5,virtual reality,renforshort
6,dramatic,Cat & Calmell
7,My Ways,Sycco
8,Typhoons,Royal Blood
9,Say It,Blush'ko
10,Dead Butterflies,Architects
11,Spa,Icona Pop & Sofi Tukker
12,OOZ,Peach Tree Rascals
13,Never Gonna Be The Same,Mia Wray
14,Kim,Tkay Maidza
15,Superstitious,Shannen James
16,Ticks Me Off,Lime Cordiale
17,Recap,Kito
18,Too Many Feelings,Ruel
19,Would You Throw A Diamond?,Hayley Mary
20,Bruuuh,JID & Denzel Curry
21,Dog Eared,Carla Geneve
22,Dino's,Gordi x Alex Lahey
23,Please U,Planet Vegeta
24,Feels Right,Biig Piig
25,PAIN,King Princess
26,until we meet again,yergurl
27,Calling My Phone,Lil Tjay & 6LACK
28,Technicolour,Montaigne
29,Falling,Crooked Colours
30,Stranded,Sumner
31,Drama Club,Tired Lion
32,No Good For Me,KUCKA
33,That's Just How I Feel,Noah Dillon
34,Good Days,SZA
35,Shine,San Cisco
36,Look At The Sky,Porter Robinson
37,Guilty Love,Ladyhawke & Broods
38,Easy,Genesis Owusu
39,Somebody Loves You,Carla Wehbe
40,Secretive!,Ninajirachi & Kota Banks
41,All Or Nothing,DZ Deathrays
42,serotonin,girl in red
43,Happen To Me,BENEE
44,Valhalla,Skegss
45,Get High,Chet Faker
46,Up,Cardi B
47,Nothing Ever Goes My Way,Ball Park Music
48,Lose Your Head,London Grammar
49,The Last Man On Earth,Wolf Alice
50,Something About Being Sixteen,Teenage Joans
51,The Divine Chord,Johnny Marr
52,Jealous,Rico Nasty
53,Learning Alive,DMA'S
54,Waterfalls Coming Out Your Mouth,Glass Animals
55,Kissing Strangers,Vetta Borne
56,Bad Girl,Daya
57,FEEL SOMETHING DIFFERENT,Aminé
58,FMF!,Nick Ward
59,You,"benny blanco, Marshmello & Vance Joy"
60,Juno,Running Touch
61,Parlez-Vous Anglais,Aitch
62,drivers license,Olivia Rodrigo
63,Tally-Ho,Psychedelic Porn Crumpets
64,Hope,Arlo Parks
65,Together,beabadoobee
66,Circles,Megan Thee Stallion
67,Show Out,Pop Smoke
68,forget me too,Halsey
69,Weightless,Spacey Jane
70,Get Me Out,King Stingray
71,CONFIDENT,Tasman Keith
72,Gold Chains,Genesis Owusu
73,Higher,Budjerah
74,Queen,mxmtoon
75,letting go,Ziggy Alberts
76,Tipsy,Liyah Knight
77,One More,Nile Rodgers
78,Bad Boy,Juice WRLD & Young Thug
79,Medusa,Jesswar
80,Waitin On Ya,Genesis Owusu
81,Wait A While,Beddy Rays
82,Questions,Middle Kids
83,Amends,Odette
84,Follow Me,ShockOne
85,Centrefold,Genesis Owusu
86,Muddy Evil Pain,The Rubens
87,Money Talks,Dave
88,No Looking Back,Genesis Owusu
89,Nigel Hitter,shame
90,Take Off,"Hooligan Hefs, SCNDL & Sunset Bros."
91,Bigger Than Me,Gretta Ray
92,Spicy,Post Malone
93,Chemtrails Over The Country Club,Lana Del Rey
94,Water Me Down,Rosie Darling
95,Stop For A Minute,Polish Club
96,A Song About Fishing,Genesis Owusu
97,Mystery,Blanke
98,21,Bakers Eddy
99,Skywalker,Oliver Malcolm
100,Dreamin',Juno Disco
