1,Show Out,Pop Smoke
2,Comets & Zombies,Slowly Slowly
3,Masterpiece,The Rubens
4,Feels Right,Biig Piig
5,FEEL SOMETHING DIFFERENT,Aminé
6,PAIN,King Princess
7,River,PNAU & Ladyhawke
8,Passion,Gretta Ray
9,Old Youth Feeling,Bugs
10,Fallin' Apart,Pell
11,MAZZA,A$AP Rocky
12,Teenager,George Alice
13,Dance,Julia Stone
14,until we meet again,yergurl
15,Bridged By A Lightwave,deadmau5 & Kiesza
16,Questions,Middle Kids
17,The Other Black Dog,Genesis Owusu
18,Good Days,SZA
19,Something About Being Sixteen,Teenage Joans
20,Apricots,MAY-A
21,Queen,mxmtoon
22,Reality Check Please,Lime Cordiale
23,Two Lovers,Tia Gostelow
24,Impossible,Nothing But Thieves
25,In Her Eyes,The Jungle Giants
26,Drama Club,Tired Lion
27,Anything,Alison Wonderland & Valentino Khan
28,Therefore I Am,Billie Eilish
29,Chemtrails Over The Country Club,Lana Del Rey
30,Sunshine,Triple One
31,Home,Eliott
32,Not Ready For Love,Tyne-James Organ
33,Spa,Icona Pop & Sofi Tukker
34,Get Me So High,Eves Karydas
35,Bad Boy,Juice WRLD & Young Thug
36,Come Along,A.GIRL
37,Port Rd,Queen P
38,Nightmare,Sloan Peterson
39,Teardrops,Bring Me The Horizon
40,Real Shit,Juice WRLD & benny blanco
41,1st Time,Bakar
42,C'MON,Travis Barker
43,Heaven Of My Own,Miiesha
44,i miss u,Jax Jones & Au/Ra
45,Easier,LOWES
46,If I Never Say A Word,Matt Corby
47,cotton candy,YUNGBLUD
48,The Divine Chord,Johnny Marr
49,Swing,CXLOE
50,Heat Waves,Glass Animals
51,Fly Away,Tones And I
52,Willow Tree,Jerome Farah
53,Alchemy,Blanke
54,It's All Connected,Andy Bull
55,Get Me Out,King Stingray
56,SEND IT!,Hooligan Hefs
57,No Feelings,Carla Wehbe
58,Sunbeam,KIAN
59,Knievel Daredevil,Asha Jefferies
60,Somebody Loves You,Carla Wehbe
61,Driver,Pendulum
62,Diamonds,Taka Perry
63,Best I Ever Had,LAUREL
64,Kool,BENEE
65,dumbshit,Cat & Calmell
66,Poison,Sydnee Carter
67,I Myself & Me,Illy
68,Cheap Seats,WAAX
69,forget me too,Halsey
70,Together,beabadoobee
71,Germs,Sycco
72,Codes,Illy
73,Follow Me,ShockOne
74,Brick Wall,A Day to Remember
75,Wave,Illy
76,Storm,CLYPSO
77,Out Of Touch,Lastlings
78,Tyler Herro,Jack Harlow
79,Automation,King Gizzard & The Lizard Wizard
80,Loose Change,Obi Ill Terrors
81,Dwell,Odette
82,Weightless,Spacey Jane
83,Vibrate,Jerome Farah
84,Mirror,Wrabel
85,24k,Tkay Maidza
86,Too Tough Terry,Dune Rats
87,Watch Your Step,Kelis
88,Nothing Ever Goes My Way,Ball Park Music
89,AC/DC CD,The Chats
90,distance,Ruel
91,Pretty Grim,Ruby Fields
92,All Or Nothing,DZ Deathrays
93,Cherub,Ball Park Music
94,My City,ONEFOUR & The Kid LAROI
95,Come Over,Popcaan
96,Spicy,Post Malone
97,LUCID,Rina Sawayama
98,Get On The Beers,Dan Andrews
99,i'm a fucking wreck,Daniyel
100,"to Perth, before the border closes",Julia Jacklin
