1,Say It,Blush'ko
2,Typhoons,Royal Blood
3,My Ways,Sycco
4,Crash and Burn,Maggie Lindemann
5,Too Many Feelings,Ruel
6,Time I Love To Waste,MAY-A
7,dramatic,Cat & Calmell
8,Bruuuh,JID & Denzel Curry
9,Ticks Me Off,Lime Cordiale
10,virtual reality,renforshort
11,Sweet & Dandy,Tash Sultana
12,Addict,Hope D
13,Kim,Tkay Maidza
14,Feels Right,Biig Piig
15,Valhalla,Skegss
16,Something About Being Sixteen,Teenage Joans
17,Weightless,Spacey Jane
18,Calling My Phone,Lil Tjay & 6LACK
19,Easier,LOWES
20,Never Gonna Be The Same,Mia Wray
21,Lose Your Head,London Grammar
22,Hope,Arlo Parks
23,PAIN,King Princess
24,Money Talks,Dave
25,Show Out,Pop Smoke
26,Higher,Budjerah
27,Stranded,Sumner
28,Spa,Icona Pop & Sofi Tukker
29,Dino's,Gordi x Alex Lahey
30,until we meet again,yergurl
31,Tipsy,Liyah Knight
32,Waterfalls Coming Out Your Mouth,Glass Animals
33,Best I Ever Had,LAUREL
34,All Or Nothing,DZ Deathrays
35,Falling,Crooked Colours
36,FEEL SOMETHING DIFFERENT,Aminé
37,OOZ,Peach Tree Rascals
38,FMF!,Nick Ward
39,Nothing Ever Goes My Way,Ball Park Music
40,Together,beabadoobee
41,Drama Club,Tired Lion
42,Would You Throw A Diamond?,Hayley Mary
43,Masterpiece,The Rubens
44,Look At The Sky,Porter Robinson
45,Queen,mxmtoon
46,Get High,Chet Faker
47,Questions,Middle Kids
48,Good Days,SZA
49,Amends,Odette
50,No Good For Me,KUCKA
51,Dog Eared,Carla Geneve
52,Parlez-Vous Anglais,Aitch
53,Jealous,Rico Nasty
54,Please U,Planet Vegeta
55,Guess Again,DREDUB
56,Up,Cardi B
57,Poison,Sydnee Carter
58,Juno,Running Touch
59,Somebody Loves You,Carla Wehbe
60,forget me too,Halsey
61,Bad Boy,Juice WRLD & Young Thug
62,Tally-Ho,Psychedelic Porn Crumpets
63,drivers license,Olivia Rodrigo
64,Muddy Evil Pain,The Rubens
65,Chemtrails Over The Country Club,Lana Del Rey
66,That's Just How I Feel,Noah Dillon
67,letting go,Ziggy Alberts
68,Dead Butterflies,Architects
69,Black Lungs,Architects
70,Medusa,Jesswar
71,CONFIDENT,Tasman Keith
72,WITHOUT YOU,The Kid LAROI
73,Recap,Kito
74,Nigel Hitter,shame
75,Learning Alive,DMA'S
76,One More,Nile Rodgers
77,Stop For A Minute,Polish Club
78,Shine,San Cisco
79,Follow Me,ShockOne
80,You,"benny blanco, Marshmello & Vance Joy"
81,The Divine Chord,Johnny Marr
82,Home,Eliott
83,Happen To Me,BENEE
84,Libertine,Architects
85,Mystery,Blanke
86,Josh,Peach PRC
87,Superstitious,Shannen James
88,AC/DC CD,The Chats
89,Meteor,Architects
90,Discourse Is Dead,Architects
91,Get Me Out,King Stingray
92,Lavender,Channel Tres
93,Atomic Blonde,BRUX
94,Sunday Suit,Tyne-James Organ
95,An Ordinary Extinction,Architects
96,Summer Fr3aks,B Wise x Manu Crooks
97,Brick Wall,A Day to Remember
98,Comets & Zombies,Slowly Slowly
99,Circles,Megan Thee Stallion
100,Spicy,Post Malone
